冠心病 心绞痛 不稳定型心绞痛 冠状动脉支架植入术后 |  心绞痛 不稳定性心绞痛/增强型心绞痛  不稳定性心绞痛 | 不稳定性心绞痛:1.0心绞痛:1增强型心绞痛:1.0 | 不稳定性心绞痛 | I20.000
心肌梗死后心绞痛 | 心肌梗死后心绞痛  | 心肌梗死后心绞痛:1 | 心肌梗死后心绞痛 | I20.005
心肌梗死后心绞痛 | 心肌梗死后心绞痛  | 心肌梗死后心绞痛:1 | 心肌梗死后心绞痛 | I20.005
心肌梗死后心绞痛心肌梗死后心绞痛 下壁心肌梗死 | 心肌梗死后心绞痛  心肌梗死后心绞痛 | 心肌梗死后心绞痛:1.0心绞痛:0.428571428571心悸:0.315625 | 心肌梗死后心绞痛 | I20.005
心肌梗死前综合征 | 心肌梗死前综合征  | 心肌梗死前综合征:1 | 心肌梗死前综合征 | I20.006
心绞痛 伴有痉挛 | 心绞痛伴有痉挛 | 心绞痛伴有痉挛:1 | 心绞痛伴有痉挛 | I20.100
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
变异型心绞痛变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1.0变异型心绞痛:1.0心绞痛:0.5 | 变异型心绞痛 | I20.101
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 变异型心绞痛 | I20.101
冠状动脉痉挛性心绞痛 | 冠状动脉痉挛/变异型心绞痛  | 变异型心绞痛:0.773333333333冠状动脉痉挛:0.773333333333动脉痉挛:0.5心绞痛:0.3 | 变异型心绞痛 | I20.101
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
变异型心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
变异性心绞痛 | 变异型心绞痛/冠状动脉痉挛  | 冠状动脉痉挛:1.0变异型心绞痛:1.0心绞痛:0.5 | 冠状动脉痉挛 | I20.102
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
冠状动脉痉挛 | 冠状动脉痉挛/变异型心绞痛  | 冠状动脉痉挛:1变异型心绞痛:1 | 冠状动脉痉挛 | I20.102
冠状动脉痉挛可能 | 冠状动脉痉挛/变异型心绞痛  | 变异型心绞痛:0.858333333333冠状动脉痉挛:0.858333333333动脉痉挛:0.541666666667 | 冠状动脉痉挛 | I20.102
急性心肌梗死 冠状动脉痉挛 | 急性心肌梗死 冠状动脉痉挛/变异型心绞痛 动脉痉挛 | 冠状动脉痉挛:1变异型心绞痛:1急性心肌梗死:1动脉痉挛:0.333333333333 | 冠状动脉痉挛 | I20.102
心绞痛 变异型 | 心绞痛  变异型心绞痛/冠状动脉痉挛 | 冠状动脉痉挛:1.0变异型心绞痛:1.0心绞痛:1 | 冠状动脉痉挛 | I20.102
心绞痛 变异型 | 心绞痛  变异型心绞痛/冠状动脉痉挛 | 冠状动脉痉挛:1.0变异型心绞痛:1.0心绞痛:1 | 冠状动脉痉挛 | I20.102
特指类型心绞痛 | 特指类型心绞痛  | 特指类型心绞痛:1 | 特指类型心绞痛 | I20.800
特指类型心绞痛 | 特指类型心绞痛  | 特指类型心绞痛:1 | 特指类型心绞痛 | I20.800
冠心病 稳定型心绞痛 |  稳定型心绞痛 心绞痛 | 稳定型心绞痛:1心绞痛:0.375 | 稳定型心绞痛 | I20.801
冠心病 稳定型心绞痛 |  稳定型心绞痛 心绞痛 | 稳定型心绞痛:1心绞痛:0.375 | 稳定型心绞痛 | I20.801
冠心病 稳定型心绞痛 心功能2级 |  稳定型心绞痛 心功能Ⅳ级 心肌病 | 稳定型心绞痛:1心功能Ⅰ级:0.853333333333心功能Ⅱ级:0.853333333333心功能Ⅳ级:0.853333333333心功能Ⅲ级:0.853333333333心悸:0.405心肌病:0.337301587302 | 稳定型心绞痛 | I20.801
冠心病 稳定型心绞痛 心功能I级 |  稳定型心绞痛 心功能Ⅳ级 心肌病 | 稳定型心绞痛:1心功能Ⅰ级:0.853333333333心功能Ⅱ级:0.853333333333心功能Ⅳ级:0.853333333333心功能Ⅲ级:0.853333333333心悸:0.405心肌病:0.337301587302 | 稳定型心绞痛 | I20.801
冠心病 稳定性心绞痛 |  稳定型心绞痛 心绞痛 | 稳定型心绞痛:1.0心绞痛:0.5 | 稳定型心绞痛 | I20.801
冠心病 心绞痛 稳定型心绞痛 心功能II级 |  心绞痛 稳定型心绞痛 心功能Ⅳ级 心肌病 | 心绞痛:1稳定型心绞痛:1心功能Ⅰ级:0.8心功能Ⅱ级:0.8心功能Ⅳ级:0.8心功能Ⅲ级:0.8心悸:0.4心肌病:0.324074074074 | 稳定型心绞痛 | I20.801
冠心病 稳定性心绞痛 |  稳定型心绞痛 心绞痛 | 稳定型心绞痛:1.0心绞痛:0.5 | 稳定型心绞痛 | I20.801
冠心病 心绞痛 稳定型心绞痛 |  心绞痛 稳定型心绞痛  | 心绞痛:1稳定型心绞痛:1 | 稳定型心绞痛 | I20.801
冠心病 心绞痛 稳定型 |  心绞痛  稳定型心绞痛 | 心绞痛:1稳定型心绞痛:0.75 | 稳定型心绞痛 | I20.801
冠心病 心绞痛 稳定型心绞痛 |  心绞痛 稳定型心绞痛  | 心绞痛:1稳定型心绞痛:1 | 稳定型心绞痛 | I20.801
冠心病 心绞痛 稳定型心绞痛 心功能Ⅱ级 |  心绞痛 稳定型心绞痛 心功能Ⅱ级 心肌�
